review,Recommended IND
ছাপ্পান্ন হাজার বর্গমাইল রাজ্যজুড়ে আজ কেবল বিষাদসিন্ধু শোক ধানমন্ডির লেক জল টলমল যেন বাংলা মায়ের অশ্রুসিক্ত চোখ,sad
সাকিব ভাই আপনি একজন জ্ঞানী মানুষ আপনার কাছে এমনটা কথা আশা করি নি জাতির জনক কখনো বঙ্গবন্ধু হতে পারে না,angry
হাজার বছরের শেষ্ট বাঙালী জাতীর জনক ব্ঙ্গবন্ধু শেখ মজিবুর রহমান সহ সকল শহীদের প্রতি বিনম্র শ্রদ্ধা,happy
স্বাধীন বাংলাদেশের স্বপতিজাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের ৪৫তম শাহাদাৎ বার্ষিকীতে জানাই বিনম্র শ্রদ্ধা ও গভীর শোক,sad
ঝরেনি সেদিন কৃষ্ণচুড়াঝরেছে পিতার রক্তআগষ্ট শোকে সিক্ত আমিশেখ মুজিবের ভক্তবিনম্র শ্রদ্ধা,sad
ভাই আপনি তারাতাড়ি আমাদের মাঝে ফিরে আসেন,excited
যদি রাত পোহালে সুনা যেতো বঙ্গবন্ধু মরে নাইইই তাইলে কী বাল হইত,abusive
১৫ আগস্ট জাতীয় শোক দিবসে জানাই বিনম্র শ্রদ্ধা,sad
দেশের জন্য যারা দিয়ে গেছে প্রাণ ভুলিনি আমরা,happy
আপনার পিতা হতে পারে ৷৷ জাতির জনক কেনো হবে৷৷ ্্্্্্্্্্্ জাতির জনক ইব্রাহিম আঃ,angry
নক্ষত্রের পতন হয় না আর বুলেটে বঙ্গবন্ধুর মৃত্যু হয়নি বাঙালির হৃদয়ে হাজার হাজার বছর বেঁচে থাকবেন তিনি,happy
উনি যেন তার মেয়েকে বলে দেয় দেশের জনগণ যেন স্বাধীন ভাবে চলতে পারে,angry
মুজিব তোমার আরেক নাম স্বাধীন বাংলাদেশ,happy
নবার ফিরবেন আর মাএ ৭৫ দিন পর,excited
ভাইরে আমরা একটা পাইতেছি না আর আপনারা আগা মাথায় সব দিক দিয়ে দিতেছেন,angry
খাও ভাই মজা করে খাও আর মাত্র ৭৫ দিন,excited
এই জায়গায় সাকিব না হলে রিয়েক্ট এর ৮৫ই হয়তো,sad
নবাব অনেক আশা আসে আপনার রেস্টুরেন্টে যাবো দ্যান আপনার সাথে দেখা করভো,excited
মাঠের রাজা মাঠে ফিরছেন শীঘ্রই,excited
৭৫ নাম্বার জার্সিটার অপেক্ষা আরো ৭৫ দিনের,excited
বেশি বেশি করে খান এতো টাকা পয়সা খাইবে কে ভাবির যে বডি,abusive
সবাই স্বপ্ন দেখে আমিও দেখি বেকারমুক্ত মাদকমুক্ত বাংলাদেশ আপনি,happy
একা একা খাইতাসেন আমারে দিসেন না অইলো জাইন কথা কমু না আমনের লগে,angry
মাঠে ফেরার অপেক্ষায় রইলাম ভালো থাকেন সুস্থ থাকেন,excited
শুধুমাত্র আপনার জন্যই আইসক্রিম খাওয়া হয়,happy
সাকিব আল হাসানের নিষেধাজ্ঞার ২৯০ তম দিন আজ আর মাত্র ৭৫ দিন পর ২২গজে দেখা যাবে বাংলার বাঘকে,excited
এই প্রতিভা গুলি একটু যত্ন করলে এদের কাছ থেকে অনেক কিছুই পাওয়ার আশা করা যায়,happy
আপনার ফেরার অপেক্ষায় আছি আমরা সবাই আশা করি শ্রীলঙ্কার বিপক্ষে দ্বিতীয় টেস্ট দিয়ে আপনি ফিরবেন,excited
ক্রিকেটের রাজপুত্রের রাজকীয় প্রত্যাবর্তন এর প্রহর গুনছি,excited
একটা বাঘের ফিরে আসার অপেক্ষায় আছি,excited
আপনিও সুরক্ষায় থাকবেন প্রিয় ভাই,happy
পরামর্শের জন্য ধন্যবাদ বাংলাদেশে আছি,happy
১ বছর ব্যান হওয়ায় সাকিবের মতো গ্রেটারসদের জনপ্রিয়তা কমে না উলটা আরো বেড়ে যায়,happy
গরীব অসহায় ব্যাক্তিরা আর এসব মানবেনা ভাইপেটে ক্ষুদা,sad
ভাইয়া বাহিরে না গেলে খাব কি আর উবার ব্যবহার করা আমাদরের মত মধ্যবিত্তদের পক্ষে সম্ভব না ভাইয়া,sad
কতজনকে এই রকম পদ্বতির শিক্ষা দিবেন ভাই যাদের পেটে ক্ষুধা তারা কি করবে,sad
সবার দ্বারা এই ব্যবহার করা সম্ভব নয় এই বাংলাদেশে,happy
এভাবেই দেশের মানুষের পাশে থাকবে তুমি সারাজীবন,happy
আপনারা ফেরার অপেক্ষায় আছি ভাই,excited
সাকিব ২২ গজে ফিরার অপেক্ষায়,excited
ইনশাআল্লাহ আর কিছুদিন পরে ওস্তাদ কে মাঠে দেখমু,excited
আপনার ক্রিকেট মাঠে ফিরার অপেক্ষায় আছি,excited
ইউবার ব্যবহারের সক্ষমতা সবার নেই,sad
তোমার সেই গর্জন নিয়ে আবার মাঠে ফেরার অপেক্ষায় আছি,excited
১৪ বছর আপনি আমাদের যা দিয়েছেন তা কোটি প্রানের অন্তরে ভালবাসার তীর হয়ে গেতে আছে ধন্যবাদ,happy
সাকিব মানেই অনুপ্রেরণা সাকিব মানেই বিশ্বাস সাকিব মানেই প্রতিপক্ষের ভয় সাকিব মানেই ১৮ কোটির জয় নবাব আল হাসান,happy
অনেক প্রথমের অভিজ্ঞতা আপনার হাত ধরেই এসেছে ভবিষ্যতেও আরো অনেক স্মরণীয় মুহূর্ত আপনার হাত ধরেই আসবে,happy
আমাদের মাগুরার গর্ব বাংলাদেশের প্রিয় খেলোয়াড় সাকিব আল হাসান ইনশাআল্লাহ আবার মাঠে সেই খেলা ফিরে আসবে,happy
ভালোবাসার একটি নাম সাকিব আল হাসান আবারো লাল সবুজ জার্সি গায়ে মাঠে ফিরবে সেই প্রত্যাশায় আছি,happy
প্রিয় তোমার জন্য শুভকামনা রইলআশা করছি অতি শিঘ্রই পূর্বের ন্যায় তিন ফরম্যাটে আবারও অলরাউন্ডারদের তালিকায় ১ নম্বর নামটি তোমারই হবে,happy
ভাই আরো ৮১০ বছর দেখতে চাই পারফর্মেন্স সহ,excited
এই চার মিনিটের ভিডিও তে শাকিবকে বর্ননা করা সম্ভব নাতারপরও অসম্ভব সুন্দর করে ফুটিয়ে তুলেছে,happy
বিশ্বসেরা অলরাউন্ডারের বাকি পথচলাটুকুও অসম্ভব সুন্দর হোক,happy
আরো অনেকগুলো বছর লাল সবুজের পতকা জড়িয়ে রাজত্ব করবে মাঠে সেই প্রত্যাশা করি,excited
৯ বছর দরে তোমার দিকে তাকিয়ে সাকিব ভাই আপনার প্রতি ভালোবাসা একটু একটু করে চুড়ায় পৌছে গেছে অনেক ভালোবাসি,happy
১৪ বছরে অনেক দিয়েছো বাংলাদেশকেফিউচারেও একি ধারাবাহিতা ধরে রাখবে ইনশাআল্লাহ,happy
গায়ের লোম খাড়া হয়ে গিয়েছে ভিডিও দেখতে দেখতে শুভকামনা সাকিব্বাই,happy
অধীর আগ্রহে অপেক্ষায় আছি প্রিয় সাকিব্বাই আপনার ফেরার,excited
যখন খেয়াল করলাম ক্লিপের ৯০ খেলাই টিভিতে সরাসরি দেখেছি তখন নিজের মধ্যেই ভালো লাগা অবাক লাগা দুটোই কাজ করলো,happy
মাশাআল্লাহ আল্লাহর রহমত সবসময় ছায়া হোক আমাদের সন্তানদের ঈদ মোবারক ব্রাদার,happy
আত্নত্যাগ ও সহানুভূতির মহিমায় উদ্ভাসিত হোক এবারের ঈদুল আযহা দেশের এই ক্লান্তি লগ্নেমহান আল্লাহ তায়ালা সবাইকে হেফাজত করুক ঈদ মোবারক,happy
এরপর আমি একজন জুনিয়র সাকিব চাইআল্লাহ যেন এই আশা পূর্ণ করে দিন,excited
ঈদুল আজহার শুভেচ্ছা তাক্বাব্বালাল্লাহু মিন্না ওয়া মিনকুম,happy
আপনি অনেক ভাগ্যবান আল্লাহ আপনাকে দুটি কন্যা সন্তান দান করেছেন আল্লাহ আপনার সহায় হোক,happy
অসাধারণ বোলিং করেছেন সাকিব ভাই,happy
এমন পারফর্মেন্সের অপেক্ষায় ছিল দেশ শুভকামনা সাকিব,happy
সাকিব আজকে অসাধারণ বোলিং করছে ইনশাআল্লাহ আশা করি সামনের ম্যাচ গুলিতে ব্যাটিংয়েও ভালো করবে,happy
বোলিংটা অসাধারণ ছিল বস রানে ফেরা জরুরি,happy
দূর্দান্ত বোলিং সাকিব ভাই এখন রানে ফেরাটা খুব দরকার আশা করি নেক্সট ম্যাচ রানে ফিরবেন নবাব শুভকামনা রইলো,excited
এত বাজে ব্যাটিং প্রত্যকটা দলেরপ্রতি টা খেলায় খেলা দেখে মনে হয় বাংলাদেশ পুরো টিম এ টি২০ এর কোন ব্যাটসম্যানই নাই,sad
অবিরাম শুভ কামনা ভাই অচিরেই চিরচেনা ছন্দে ফিরবেন সেই প্রার্থনা করছি,happy
আলহামদুলিল্লাহ বোলিং টা ভালো হচ্ছে আশাকরি খুব শিগরি ব্যাটিং এ ফর্মে ফিরবেন ইনশাআল্লাহ শুভকামনা সব সময়,happy
এমন লো স্কোরিং ম্যাচ চলতে থাকলে প্রতিবারের মত এবারও দর্শক হারাবে,angry
এবার ব্যাটে ফেরার পালা ইনশাআল্লাহ খুব দ্রুত ফিরবেন,excited
ভাইজান সব দলের থেকে খুলনা টিম শক্তিশালী হওয়া সত্ত্বেও বাজে পারফরম্যান্স মেনে নেওয়া খুবই কষ্টকর,sad
সাকিবের অসাধারণ বোলিং ৪ ওভার শেষে ৮ রানে ১ উইকেট পরবর্তী ম্যাচে রানে ফিরবে আশা করি,excited
তোমার পারফরম্যান্স দেখতে চাই জয়ের জন্য শুভকামনা বোলিংটা খুব ভালো লেগেছে,happy
ব্যাটে বলে ভালো পারফরমেন্স করে পরবর্তী ম্যাচে আপনাকে দেখতে চাই গুরু,excited
বোলিংয়ে ধারালো রুপটা দেখা দিয়েছে এখন ব্যাটিংয়ে দুর্দান্তভাবে কামব্যাক করতে হবে শুভকামনা নবাব,happy
আপনার এই রকম প্রতিভা সব সময় থাকে যেন ভাইয়া শুভ কামনা,happy
যেখানে এখনকার মানেই ১৮০২০০ স্কোর ছাড়া উপায় নাই সেখানে আমাদের সোনার ছেলেরা ১৫০ করতেও যুদ্ধ করা লাগছে,angry
মিরপুরের এই পিচ টি টোয়েন্টির উপযুগি পিচ নয় অনেক লো স্কোরিং খেলা হচ্ছে যার জন্য,sad
